Experiment,Subject,Cue,Target,Response,Manual_Scored,Trial_Num
JOL C,3,End,Adjourn,begin,0,1
JOL C,3,Love,Affection,hate,0,2
JOL C,3,Tuck,Allow,awy,0,3
JOL C,3,Lonely,Alone,alone,1,4
JOL C,3,Design,Architecture,architect,1,5
JOL C,3,Lion,Art,cub,0,6
JOL C,3,Bronze,Artery,,0,7
JOL C,3,Child,Baby,,NA,8
JOL C,3,Villain,Bad,bad,1,9
JOL C,3,Racket,Ball,ball,1,10
JOL C,3,League,Baseball,ball,0,11
JOL C,3,Toilet,Bathroom,bathroom,1,12
JOL C,3,End,Begin,begin,1,13
JOL C,3,Favorite,Best,best,1,14
JOL C,3,Penguin,Bird,bird,1,15
JOL C,3,Cold,Bitter,chili,0,16
JOL C,3,Wind,Blow,blow,1,17
JOL C,3,Ounce,Both,,0,18
JOL C,3,Water,Bridge,wet,0,19
JOL C,3,Wasp,Bug,bug,1,20
JOL C,3,Plant,Cactus,root,0,21
JOL C,3,Wax,Candle,candle,1,22
JOL C,3,Windshield,Car,car,1,23
JOL C,3,Would,Cash,,0,24
JOL C,3,Panther,Cat,cat,1,25
JOL C,3,Red,Cherry,cherry,1,26
JOL C,3,Cold,Chill,chill,1,27
JOL C,3,Hammer,Chisel,,0,28
JOL C,3,Decision,Choice,choice,1,29
JOL C,3,Cut,Chop,scissors,0,30
JOL C,3,Round,Circle,circle,1,31
JOL C,3,Attire,Clothes,clothes,1,32
JOL C,3,Game,Clue,competition,0,33
JOL C,3,Able,Crackle,,0,34
JOL C,3,Card,Credit,credit,1,35
JOL C,3,Cave,Dark,dark,1,36
JOL C,3,Coffin,Dead,death,1,37
JOL C,3,Business,Death,,0,38
JOL C,3,Sight,Debate,,0,39
JOL C,3,Bad,Delinquent,,0,40
JOL C,3,Myster,Detective,,0,41
JOL C,3,Sacking,Dietary,,0,42
JOL C,3,Stomach,Digestion,digestion,1,43
JOL C,3,Eat,Dine,,0,44
JOL C,3,Floor,Discover,,0,45
JOL C,3,Talk,Discussion,,0,46
JOL C,3,Paper,Document,white,0,47
JOL C,3,Sip,Drink,drin,1,48
JOL C,3,Car,Driver,windshield,0,49
JOL C,3,Wet,Dry,water,0,50
JOL C,3,Assignment,Due,,0,51
JOL C,3,Waste,Dump,trash,0,52
JOL C,3,Ground,Earth,earth,1,53
JOL C,3,News,Editor,,0,54
JOL C,3,Carbon,Element,element,1,55
JOL C,3,Revenge,Even,even,1,56
JOL C,3,Long,Extension,extension,1,57
JOL C,3,Fight,Feud,brawl,0,58
JOL C,3,Brawl,Fight,fight,1,59
JOL C,3,Blaze,Fire,fire,1,60
JOL C,3,Sardine,Fish,fish,1,61
JOL C,3,Hand,Fix,,0,62
JOL C,3,Tick,Flea,flea,1,63
JOL C,3,Strawberry,Fruit,fruit,1,64
JOL C,3,Enough,Full,full,1,65
JOL C,3,Dog,Furry,bite,0,66
JOL C,3,Bang,Fuzzy,loud,0,67
JOL C,3,Rock,Geology,,0,68
JOL C,3,Steak,Give,,0,69
JOL C,3,Breakable,Glass,glass,1,70
JOL C,3,Away,Gone,leave,0,71
JOL C,3,Fantastic,Great,great,1,72
JOL C,3,Bar,Grill,grill,1,73
JOL C,3,Car,Happy,wash,0,74
JOL C,3,Growth,Height,height,1,75
JOL C,3,Cow,Herd,herd,1,76
JOL C,3,Sick,Hide,,0,77
JOL C,3,Truthful,Honest,honest,1,78
JOL C,3,Bee,Honey,honey,1,79
JOL C,3,Sting,Hornet,hornet,1,80
JOL C,3,Chili,Hot,hot,1,81
JOL C,3,Famine,Hunger,hunger,1,82
JOL C,3,Clean,Hygiene,,0,83
JOL C,3,Smell,Incense,stench,0,84
JOL C,3,Maroon,Justice,,0,85
JOL C,3,Latch,Key,key,1,86
JOL C,3,Joke,Keys,,0,87
JOL C,3,Liver,Kidney,kidney,1,88
JOL C,3,Vase,King,king,1,89
JOL C,3,Attorney,Law,law,1,90
JOL C,3,Toil,Lease,,0,91
JOL C,3,Salad,Lettuce,lettuce,1,92
JOL C,3,Woman,Lift,,0,93
JOL C,3,Fiction,Listen,,0,94
JOL C,3,Trash,Litter,,0,95
JOL C,3,Sign,Loan,,0,96
JOL C,3,Site,Location,location,1,97
JOL C,3,Noise,Loud,,0,98
JOL C,3,Position,Machine,location,0,99
JOL C,3,Jar,Mason,mason,1,100
JOL C,3,Division,Math,math,1,101
JOL C,3,Election,Maze,,0,102
JOL C,3,Obtain,Meat,,0,103
JOL C,3,Children,Mirror,kid,0,104
JOL C,3,Clear,Moat,maut,1,105
JOL C,3,Banker,Money,money,1,106
JOL C,3,Donkey,Mule,mule,1,107
JOL C,3,Hate,Name,love,0,108
JOL C,3,Amount,Number,,0,109
JOL C,3,Flower,Orchid,orchid,1,110
JOL C,3,Have,Own,yours,0,111
JOL C,3,Hungry,Park,,0,112
JOL C,3,Future,Past,present,0,113
JOL C,3,Dog,Paw,pet,0,114
JOL C,3,Communication,Phone,phone,1,115
JOL C,3,Pilot,Plane,plane,1,116
JOL C,3,Aircraft,Plane,plae,1,117
JOL C,3,Soda,Pop,pop,1,118
JOL C,3,Balloon,Pop,,0,119
JOL C,3,Clutter,Pusher,trash,0,120
JOL C,3,Shave,Razor,razor,1,121
JOL C,3,War,Revolution,revolution,1,122
JOL C,3,Equal,Rights,same,0,123
JOL C,3,Reel,Rod,rod,1,124
JOL C,3,Plant,Root,root,1,125
JOL C,3,Seatbelt,Safety,safety,1,126
JOL C,3,Head,Scalp,tail,0,127
JOL C,3,Main,Scar,,0,128
JOL C,3,Word,Sentence,sentence,1,129
JOL C,3,Scissors,Shears,cut,0,130
JOL C,3,Shake,Shell,,0,131
JOL C,3,Foot,Shoe,shoe,1,132
JOL C,3,Tie,Shoelace,shoestring,0,133
JOL C,3,Drowsy,Sleep,sleep,1,134
JOL C,3,Nap,Sleep,sleep,1,135
JOL C,3,Stench,Smell,smell,1,136
JOL C,3,Belt,Soon,,0,137
JOL C,3,Actress,Star,star,1,138
JOL C,3,Cloth,Stretch,stretch,1,139
JOL C,3,Accident,Strong,,0,140
JOL C,3,Riddle,Sugar,,0,141
JOL C,3,Tan,Sun,sun,1,142
JOL C,3,Bird,Swan,parrot,0,143
JOL C,3,Seize,Take,take,1,144
JOL C,3,Temper,Tantrum,,0,145
JOL C,3,Morning,Temperature,tempature,1,146
JOL C,3,Thimble,Thread,thread,1,147
JOL C,3,Jury,Trial,trail,1,148
