Experiment,Subject,Cue,Target,Response,Manual_Scored,Trial_num
JOL D,100,End,Adjourn,,0,1
JOL D,100,Love,Affection,,0,2
JOL D,100,Tuck,Allow,,0,3
JOL D,100,Lonely,Alone,,0,4
JOL D,100,Design,Architecture,,0,5
JOL D,100,Lion,Art,art,1,6
JOL D,100,Bronze,Artery,,0,7
JOL D,100,Child,Baby,,0,8
JOL D,100,Villain,Bad,bad,1,9
JOL D,100,Racket,Ball,ball,1,10
JOL D,100,League,Baseball,baseball,1,11
JOL D,100,Toilet,Bathroom,bathroom,1,12
JOL D,100,End,Begin,begin,1,13
JOL D,100,Favorite,Best,,0,14
JOL D,100,Penguin,Bird,bird,1,15
JOL D,100,Cold,Bitter,,0,16
JOL D,100,Wind,Blow,blow,1,17
JOL D,100,Ounce,Both,,0,18
JOL D,100,Water,Bridge,,0,19
JOL D,100,Wasp,Bug,bug,1,20
JOL D,100,Plant,Cactus,,0,21
JOL D,100,Wax,Candle,candle,1,22
JOL D,100,Windshield,Car,car,1,23
JOL D,100,Would,Cash,cash,1,24
JOL D,100,Panther,Cat,cat,1,25
JOL D,100,Red,Cherry,,0,26
JOL D,100,Cold,Chill,,0,27
JOL D,100,Hammer,Chisel,,0,28
JOL D,100,Decision,Choice,,0,29
JOL D,100,Cut,Chop,chop,1,30
JOL D,100,Round,Circle,circle,1,31
JOL D,100,Attire,Clothes,clothes,1,32
JOL D,100,Game,Clue,,0,33
JOL D,100,Able,Crackle,,0,34
JOL D,100,Card,Credit,credit,1,35
JOL D,100,Cave,Dark,dark,1,36
JOL D,100,Coffin,Dead,dead,1,37
JOL D,100,Business,Death,death,1,38
JOL D,100,Sight,Debate,,0,39
JOL D,100,Bad,Delinquent,,0,40
JOL D,100,Myster,Detective,,0,41
JOL D,100,Sacking,Dietary,,0,42
JOL D,100,Stomach,Digestion,digestion,1,43
JOL D,100,Eat,Dine,dine,1,44
JOL D,100,Floor,Discover,,0,45
JOL D,100,Talk,Discussion,discussion,1,46
JOL D,100,Paper,Document,,0,47
JOL D,100,Sip,Drink,drink,1,48
JOL D,100,Car,Driver,windshield,0,49
JOL D,100,Wet,Dry,,0,50
JOL D,100,Assignment,Due,due,0,51
JOL D,100,Waste,Dump,dump,1,52
JOL D,100,Ground,Earth,earth,1,54
JOL D,100,News,Editor,,0,55
JOL D,100,Carbon,Element,,0,56
JOL D,100,Revenge,Even,,0,57
JOL D,100,Long,Extension,,0,58
JOL D,100,Fight,Feud,brawl,0,59
JOL D,100,Brawl,Fight,fight,1,60
JOL D,100,Blaze,Fire,fire,1,61
JOL D,100,Sardine,Fish,fish,1,62
JOL D,100,Hand,Fix,,0,63
JOL D,100,Tick,Flea,flea,1,64
JOL D,100,Strawberry,Fruit,fruit,1,65
JOL D,100,Enough,Full,full,1,66
JOL D,100,Dog,Furry,,0,67
JOL D,100,Bang,Fuzzy,name,0,68
JOL D,100,Rock,Geology,,0,69
JOL D,100,Steak,Give,,0,70
JOL D,100,Breakable,Glass,,0,71
JOL D,100,Away,Gone,,0,72
JOL D,100,Fantastic,Great,great,1,73
JOL D,100,Bar,Grill,grill,1,74
JOL D,100,Car,Happy,happy,1,75
JOL D,100,Growth,Height,height,1,76
JOL D,100,Cow,Herd,herd,1,77
JOL D,100,Sick,Hide,,0,78
JOL D,100,Truthful,Honest,honest,1,79
JOL D,100,Bee,Honey,honey,1,80
JOL D,100,Sting,Hornet,hornet,1,81
JOL D,100,Chili,Hot,hot,1,82
JOL D,100,Famine,Hunger,hunger,1,83
JOL D,100,Clean,Hygiene,,0,84
JOL D,100,Smell,Incense,,0,85
JOL D,100,Maroon,Justice,,0,86
JOL D,100,Latch,Key,keys,1,87
JOL D,100,Joke,Keys,keys,1,88
JOL D,100,Liver,Kidney,kidney,1,89
JOL D,100,Vase,King,king,1,90
JOL D,100,Attorney,Law,,0,91
JOL D,100,Toil,Lease,,0,92
JOL D,100,Salad,Lettuce,lettuce,1,93
JOL D,100,Woman,Lift,lift,1,94
JOL D,100,Fiction,Listen,listen,1,95
JOL D,100,Trash,Litter,,0,96
JOL D,100,Sign,Loan,,0,97
JOL D,100,Site,Location,location,1,98
JOL D,100,Noise,Loud,loud,1,99
JOL D,100,Position,Machine,,0,100
JOL D,100,Jar,Mason,mason,1,101
JOL D,100,Division,Math,math,1,102
JOL D,100,Election,Maze,,0,103
JOL D,100,Obtain,Meat,have,0,104
JOL D,100,Children,Mirror,,0,105
JOL D,100,Clear,Moat,water,0,106
JOL D,100,Banker,Money,,0,107
JOL D,100,Donkey,Mule,mule,1,108
JOL D,100,Hate,Name,,0,109
JOL D,100,Amount,Number,cash,1,110
JOL D,100,Flower,Orchid,orchid,1,111
JOL D,100,Have,Own,,0,112
JOL D,100,Hungry,Park,,0,113
JOL D,100,Future,Past,,0,114
JOL D,100,Dog,Paw,paw,1,115
JOL D,100,Communication,Phone,phone,1,116
JOL D,100,Aircraft,Plane,plane,1,117
JOL D,100,Pilot,Plane,plane,1,118
JOL D,100,Balloon,Pop,pop,1,119
JOL D,100,Soda,Pop,pop,1,120
JOL D,100,Clutter,Pusher,,0,121
JOL D,100,Shave,Razor,razor,1,122
JOL D,100,War,Revolution,revolution,1,123
JOL D,100,Equal,Rights,rights,1,124
JOL D,100,Reel,Rod,,0,125
JOL D,100,Plant,Root,growth,0,126
JOL D,100,Seatbelt,Safety,safety,1,127
JOL D,100,Head,Scalp,,0,128
JOL D,100,Main,Scar,scar,1,129
JOL D,100,Word,Sentence,,0,130
JOL D,100,Scissors,Shears,,0,131
JOL D,100,Shake,Shell,shell,1,132
JOL D,100,Foot,Shoe,shoe,1,133
JOL D,100,Tie,Shoelace,,0,134
JOL D,100,Nap,Sleep,sleep,1,135
JOL D,100,Drowsy,Sleep,sleepy,0,136
JOL D,100,Stench,Smell,smell,1,137
JOL D,100,Belt,Soon,,0,138
JOL D,100,Actress,Star,star,1,139
JOL D,100,Cloth,Stretch,,0,140
JOL D,100,Accident,Strong,strong,1,141
JOL D,100,Riddle,Sugar,,0,142
JOL D,100,Tan,Sun,,0,143
JOL D,100,Bird,Swan,swan,1,144
JOL D,100,Seize,Take,control,0,145
JOL D,100,Temper,Tantrum,tantrum,1,146
JOL D,100,Morning,Temperature,,0,147
JOL D,100,Thimble,Thread,,0,148
JOL D,100,Jury,Trial,attorney,0,149
JOL D,100,Lie,Truth,honest,0,150
JOL D,100,Fish,Tuna,shrimp,0,151
JOL D,100,Flip,Turn,turn,1,152
JOL D,100,Add,Valley,,0,153
JOL D,100,Charm,Vehicle,,0,154
JOL D,100,Money,Wage,,0,155
JOL D,100,Drink,Water,water,1,156
JOL D,100,Out,Way,,0,157
JOL D,100,Cheese,Wine,wine,1,158
JOL D,100,Chore,Work,work,1,159
JOL D,100,Bracelet,Wrist,wrists,1,160
